headword,CEFR,level_num
aged,A2,2
ageless,B2,4
agency,A2,2
agenda,B1,3
agent,A2,2
aggressive,B1,3
aggressively,B2,4
ago,A1,1
agonize/agonise,B2,4
agony,B2,4
agree,A1,1
agreement,B1,3
agricultural,B1,3
agriculture,B1,3
ahead,A2,2
aid,B1,3
aid,B1,3
aim,B1,3
aim,B2,4
air,A2,2
air conditioning,B1,3
air force,B1,3
aircraft,B2,4
aircrew,B2,4
airline,B1,3
airplane/aeroplane,A1,1
airport,A1,1
aisle,A2,2
alarm,A2,2
alarm,B1,3
alarm clock,A2,2
album,A1,1
alcohol,B1,3
alcoholic,B1,3
alcoholic,B2,4
alcoholism,B2,4
alert,B2,4
alike,B1,3
alike,B1,3
alive,A2,2
all,A2,2
all,A1,1
all,A1,1
all right,A1,1
all right,A1,1
allegation,B2,4
allergic,B1,3
alliance,B2,4
allow,A2,2
allowance,B1,3
ally,B2,4
almost,A1,1
alone,A2,2
alone,A1,1
along,A1,1
along,A2,2
alongside,B2,4
aloud,B1,3
alphabet,B1,3
alphabetical,B2,4
already,A1,1
alright,A2,2
alright,A2,2
also,A1,1
altar,B2,4
alter,B2,4
alternate,B2,4
alternative,B1,3
alternative,B1,3
alternatively,B2,4
although,A2,2
altitude,B2,4
altogether,B1,3
aluminum/aluminium,B2,4
always,A1,1
am,A1,1
amaze,B2,4
amazed,B1,3
amazement,B2,4
amazing,B1,3
amazingly,B2,4
ambassador,B2,4
ambiguity,B2,4
ambiguous,B2,4
ambition,A2,2
ambitious,B1,3
ambulance,B1,3
ammonia,B2,4
among,A2,2
amongst,B2,4
amount,B1,3
ample,B2,4
amplifier,B2,4
amplify,B2,4
amuse,B2,4
amused,A2,2
amusement,A2,2
amusing,B1,3
an,A1,1
analogy,B2,4
analysis,B1,3
analyst,B2,4
analyze/analyse,B1,3
ancestor,A2,2
anchor,B2,4
anchorage,B2,4
anchorman,B2,4
anchorperson,B2,4
ancient,A2,2
and,A1,1
angel,A2,2
anger,B1,3
angle,B1,3
angrily,A2,2
angry,A1,1
anguish,B2,4
animal,A1,1
animate,B2,4
animated,B1,3
animation,B1,3
ankle,A2,2
anniversary,A2,2
announce,B1,3
announcement,B1,3
annoy,A2,2
annoyance,B1,3
annoyed,B1,3
annoying,A2,2
annual,B1,3
annually,B1,3
anonymous,B2,4
another,A1,1
another,A2,2
answer,A1,1
answer,A1,1
ant,B1,3
anti,B1,3
antiaircraft,B2,4
antibacterial,B2,4
anticancer,B2,4
anticipate,B2,4
anticipation,B2,4
antipollution,B2,4
antique,B2,4
antique,B1,3
antistatic,B2,4
antivirus,B2,4
antonym,B1,3
anxiety,B1,3
anxious,A2,2
anxiously,B1,3
any,A1,1
any,A1,1
anybody,A1,1
anyhow,B1,3
anymore,A2,2
anyone,A1,1
anything,A1,1
anyway,A2,2
anywhere,A2,2
apart,A2,2
apartment,A2,2
ape,B1,3
apologize/apologise,A2,2
apology,B1,3
apostrophe,B2,4
apparent,B1,3
apparently,A2,2
appeal,B1,3
appeal,B2,4
appear,A2,2
appearance,A2,2
appetite,B1,3
applaud,B1,3
applause,B1,3
apple,A1,1
applicant,B2,4
application,B1,3
apply,A2,2
appoint,B1,3
appointment,A2,2
appreciate,A2,2
appreciation,B1,3
appreciative,B2,4
approach,B1,3
approach,B2,4
appropriate,A2,2
appropriately,B2,4
approval,B1,3
approve,B1,3
approximate,B2,4
approximately,B1,3
April,A1,1
apron,A1,1
arch,B2,4
archaeologist/archeologist,B2,4
architect,B1,3
architecture,A2,2
arctic,B2,4
are,A1,1
area,A2,2
arena,B2,4
argue,A2,2
argument,A2,2
arise,B1,3
aristocracy,B2,4
arithmetic,B1,3
arm,A1,1
arm,B1,3
armchair,A2,2
armed,A2,2
armful,B2,4
army,B1,3
around,A2,2
around,A1,1
arouse,B2,4
arrange,B1,3
arrangement,B1,3
arrest,B1,3
arrest,B1,3
arrival,B1,3
arrive,A1,1
arrogant,B2,4
arrow,B1,3
art,A1,1
artery,B2,4
article,A1,1
articulate,B2,4
artificial,A2,2
artificially,B2,4
artist,B1,3
artistic,B1,3
artistry,B2,4
as,A2,2
as,A1,1
ash,B2,4
ashamed,B1,3
aside,B1,3
ask,A1,1
asleep,A2,2
aspect,B1,3
aspiration,B2,4
aspire,B2,4
aspirin,B1,3
assault,B2,4
assemble,B2,4
assembly,B2,4
assert,B2,4
assess,B2,4
assessment,B2,4
assign,B1,3
assignment,B1,3
assist,B1,3
assistance,B1,3
assistant,A2,2
assistant,B1,3
associate,B1,3
association,A2,2
assume,B1,3
assumption,B2,4
assurance,B2,4
assure,B2,4
astonish,B2,4
astonished,B2,4
astonishing,B2,4
astonishment,B2,4
astronaut,A2,2
astronomer,B1,3
astronomy,B2,4
at,A1,1
athlete,A2,2
athletic,B1,3
athletics,B2,4
Atlantic,B1,3
atmosphere,B1,3
atom,A2,2
atomic,B1,3
attach,B1,3
attached,B2,4
attachment,B1,3
attack,A2,2
attack,A2,2
attain,B1,3
attainable,B2,4
attainment,B2,4
attempt,A2,2
attempt,B1,3
attend,B1,3
attendance,B2,4
attention,A2,2
attentive,B2,4
attentively,B2,4
attitude,A2,2
attract,B1,3
attraction,B1,3
attractive,A2,2
attractiveness,B2,4
attribute,B2,4
attribute,B2,4
atypical,B2,4
aubergine,B2,4
audience,A2,2
audio,A2,2
audit,B2,4
audition,B2,4
August,A1,1
aunt,A1,1
author,A2,2
authoritative,B2,4
authority,B1,3
authorize/authorise,B2,4
automatic,A2,2
automatically,A2,2
autumn,A1,1
auxiliary,B1,3
availability,B2,4
available,B1,3
avenue,B1,3
average,A2,2
average,A2,2
avoid,A2,2
await,B2,4
awake,A1,1
award,A2,2
award,B1,3
aware,B1,3
awareness,B1,3
away,A1,1
awe,B2,4
awesome,B1,3
awful,A2,2
awkward,B1,3
ax/axe,B2,4
axis,B2,4
baby,A1,1
babysit,B1,3
babysitter,B1,3
back,A2,2
back,A1,1
back,A1,1
back,B1,3
backache,B1,3
background,A2,2
backpack,B1,3
backpacker,B1,3
backpacking,B1,3
backup,B2,4
backward/backwards,B2,4
backyard,B2,4
bacon,B1,3
bad,A1,1
badge,B2,4
badly,A2,2
badminton,A2,2
bad-tempered,B2,4
bag,A1,1
baggage,B1,3
bake,A2,2
baker,B1,3
bakery,B1,3
balance,B1,3
balance,B2,4
balanced,B2,4
balcony,A2,2
bald,B1,3
balky,B2,4
ball,A1,1
ballad,B2,4
ballet,B2,4
balloon,A2,2
ballot,B2,4
ban,B2,4
ban,B2,4
banana,A1,1
band,A1,1
bandage,B1,3
bang,B1,3
bang,B1,3
bank,A1,1
bank,A2,2
bank account,B1,3
banker,B2,4
banking,A2,2
bankrupt,B2,4
bankruptcy,B2,4
bar,A1,1
bar,B1,3
barbecue,A2,2
barbecue,B1,3
barber,A2,2
barbershop,B2,4
bare,B1,3
bare,B2,4
barely,B1,3
bargain,A2,2
bargain,B2,4
bark,B1,3
bark,B2,4
barley,B2,4
barman,B1,3
barn,B2,4
barometer,B2,4
barrel,B1,3
barren,B2,4
barrier,B2,4
bartender,B2,4
base,A2,2
base,B1,3
baseball,A1,1
basement,B1,3
basic,A2,2
basically,A2,2
basin,B1,3
basis,B1,3
basket,A2,2
basketball,A1,1
bat,A1,1
bat,B1,3
batch,A2,2
bath,A1,1
bathe,B1,3
bathhouse,B2,4
bathroom,A1,1
battery,A2,2
battle,B1,3
battlefield,B2,4
bay,A2,2
be,A1,1
beach,A1,1
beagle,B2,4
beak,B2,4
beam,B2,4
bean,A1,1
bear,A1,1
bear,A2,2
beard,B1,3
bearing,B2,4
beast,B1,3
beat,B2,4
beat,B1,3
beautiful,A1,1
beautifully,B1,3
beautify,B2,4
beauty,A2,2
beaver,B1,3
because,A1,1
because of,B1,3
become,A1,1
bed,A1,1
bedroom,A1,1
bedside,B1,3
bee,A1,1
beef,A1,1
been,A2,2
beer,A2,2
before,A1,1
before,A2,2
before,A1,1
beg,A2,2
begin,A1,1
beginner,A2,2
beginning,A2,2
behalf,B1,3
behave,B1,3
behavior/behaviour,A2,2
behind,A1,1
behind,A1,1
being,A2,2
belief,B1,3
believe,A1,1
bell,A1,1
bellow,B2,4
belly,A2,2
belong,A2,2
belongings,B2,4
beloved,B1,3
below,A1,1
below,A1,1
belt,A2,2
bench,A2,2
bend,B2,4
bend,A2,2
beneath,B1,3
beneficial,B2,4
benefit,B1,3
benefit,B2,4
benevolence,B2,4
benevolent,B2,4
bent,B1,3
berry,B2,4
beside,A1,1
besides,A2,2
besides,B1,3
best,A1,1
best,A1,1
bestow,B2,4
bestseller,B2,4
bet,B1,3
betray,B2,4
better,A1,1
better,A2,2
between,A1,1
bewilder,B2,4
bewilderment,B2,4
beyond,A2,2
bicycle,A1,1
bid,B2,4
bidding,B2,4
big,A1,1
bike,A1,1
bikini,B2,4
bilingual,B1,3
bill,A2,2
bill,B1,3
billion,B2,4
bin,B1,3
bind,B2,4
bio,B2,4
biochemistry,B1,3
biography,B1,3
biological,B2,4
biology,B1,3
biotechnology,B2,4
bird,A1,1
birdcage,B2,4
birth,A1,1
birthday,A1,1
birthplace,B2,4
biscuit,A1,1
bishop,B1,3
bit,A2,2
bite,A2,2
bite,B1,3
bitter,B1,3
bitterly,B2,4
bizarre,B2,4
black,A1,1
black,A1,1
blackboard,A2,2
blade,B2,4
blame,B1,3
blame,A2,2
blank,A1,1
blanket,A2,2
blast,B2,4
blast,B2,4
blaze,B2,4
blaze,B2,4
bleed,B1,3
blend,B2,4
blend,B1,3
bless,B1,3
blessing,B1,3
blind,B1,3
blindly,B2,4
blindness,B2,4
blink,B2,4
block,A1,1
block,B1,3
blog,B1,3
blogger,B1,3
blonde,A2,2
blood,A2,2
bloodstream,B2,4
bloody,B2,4
bloody,B2,4
bloom,A2,2
blooming,B2,4
blossom,B2,4
blow,A2,2
blow,A1,1
blue,A1,1
blue,A1,1
blur,B2,4
blurt,B2,4
blush,B1,3
blush,B2,4
board,A1,1
board,B1,3
board game,A2,2
boast,B1,3
boat,A1,1
body,A1,1
boil,A2,2
boiled,A2,2
boiling,B2,4
bold,B1,3
bold,B2,4
boldly,B1,3
bolt,B2,4
bolt,B2,4
bomb,B1,3
bomb,B1,3
bombard,B2,4
bomber,B2,4
bombing,B2,4
bond,B1,3
bone,A1,1
bonus,A2,2
bony,B2,4
book,A1,1
book,B1,3
bookcase,A2,2
booking,B1,3
bookish,B2,4
booklet,B2,4
bookmark,B2,4
bookmark,B2,4
bookshelf,A2,2
bookshop,A2,2
bookstore,A1,1
boom,B1,3
boost,B2,4
boost,B2,4
boot,B1,3
booth,B2,4
border,B1,3
bore,B1,3
bored,A2,2
boredom,B1,3
boring,A1,1
borrow,A1,1
boss,A2,2
bossy,B2,4
botany,B2,4
both,A1,1
both,A1,1
both,A1,1
bother,B1,3
bother,A2,2
bothered,B2,4
bothersome,B2,4
bottle,A1,1
bottle,B2,4
bottom,A1,1
bounce,B2,4
bounce,B1,3
bound,B1,3
bourbon,B2,4
bow,B1,3
bow,B2,4
bowl,A1,1
bowl,B1,3
box,A1,1
boxer,B2,4
boxing,B1,3
boy,A1,1
boyfriend,A1,1
bra,A2,2
bracelet,B1,3
bracket,B2,4
brag,B2,4
brain,A1,1
brainstorm,A2,2
brainstorming,B1,3
brake,A2,2
brake,B2,4
branch,A2,2
branch,B1,3
brand,A2,2
brand-new,B1,3
brass,B1,3
brave,A2,2
bravely,B1,3
bravery,B2,4
bread,A1,1
break,A2,2
break,A1,1
breakable,B2,4
breakdown,B2,4
breakfast,A1,1
breakthrough,B1,3
breakup,B2,4
breast,B1,3
breath,B1,3
breathe,A1,1
breathless,B1,3
breathtaking,B2,4
breed,B2,4
breed,B1,3
breeding,B1,3
breeze,A2,2
breezy,B2,4
brewery,B2,4
brick,B1,3
bride,A2,2
bridge,A1,1
brief,B1,3
briefly,B1,3
bright,A1,1
brightly,B1,3
brilliant,A2,2
brilliantly,B2,4
bring,A1,1
broad,B1,3
broadband,B2,4
broadcast,B1,3
broadcast,B2,4
broadcaster,B2,4
broaden,B2,4
broadly,B2,4
broccoli,B1,3
brochure,B2,4
broken,A1,1
bronze,B1,3
brother,A1,1
brotherhood,B1,3
brother-in-law,B2,4
brown,A1,1
brown,A2,2
browse,B2,4
browser,B2,4
bruise,B2,4
brush,A1,1
brush,A1,1
bubble,B1,3
bucket,A1,1
bud,B2,4
buddy,B1,3
budget,B2,4
budget,A2,2
bug,A2,2
build,A1,1
builder,B1,3
building,A1,1
bulb,A2,2
bulimia,B2,4
bull,B1,3
bullet,B1,3
bulletin,B1,3
bully,B2,4
bum,B2,4
bump,B1,3
bumper,B2,4
bun,B2,4
bunch,B1,3
burden,B1,3
burden,B2,4
burdensome,B2,4
bureau,B1,3
bureaucracy,B2,4
burger,A1,1
burglar,B1,3
burglary,B2,4
burgle,B2,4
burial,B2,4
burn,A2,2
burn,B1,3
burning,B1,3
burst,B1,3
bury,A2,2
bus,A1,1
bus station,A2,2
bus stop,A2,2
bush,A2,2
business,A1,1
businessman,A2,2
businesswoman,A2,2
bust,B1,3
bustle,B2,4
bustling,B2,4
busy,A1,1
but,A1,1
but,B1,3
butcher,B1,3
butcher,B2,4
butter,A1,1
butterfly,A1,1
button,A1,1
buy,A1,1
buyer,B1,3
buzz,B2,4
buzz,B2,4
by,A1,1
bye,A1,1
cab,A2,2
cabbage,B1,3
cabin,B1,3
cabinet,B2,4
cable,B2,4
cafe/café,A1,1
cafeteria,A2,2
cage,B1,3
cake,A1,1
calculate,B1,3
calculation,B1,3
calculator,B1,3
calendar,A2,2
calf,B1,3
call,A1,1
call,A2,2
caller,B1,3
calm,B1,3
calmly,B2,4
calmness,B1,3
camel,B1,3
camera,A1,1
camp,A1,1
camp,A2,2
campaign,B2,4
camping,A2,2
campsite,B1,3
campus,A2,2
can,A1,1
can,A2,2
canal,B1,3
cancel,B1,3
cancer,B1,3
candidate,B2,4
candle,B1,3
candy,A1,1
cane,B2,4
canned,B1,3
cannonball,B2,4
canon,B2,4
canteen,B1,3
cap,A1,1
capability,B2,4
capable,B1,3
capacity,B1,3
capital,A2,2
capital letter,A2,2
capsule,B1,3
captain,A2,2
caption,B2,4
captive,B2,4
capture,B1,3
capture,B1,3
car,A1,1
car park,A2,2
caravan,B2,4
carbon,B2,4
carbon dioxide,B2,4
carbon footprint,B2,4
carbon monoxide,B2,4
card,A1,1
cardboard,B2,4
cardigan,B2,4
care,A1,1
care,B1,3
career,B1,3
carefree,B2,4
careful,A1,1
carefully,A1,1
careless,B1,3
carelessly,B1,3
carelessness,B1,3
caring,B2,4
carnival,B2,4
carpet,B1,3
carpool,B2,4
carriage,B1,3
carrot,A2,2
carry,A1,1
carton,B1,3
cartoon,A1,1
carve,B2,4
cascade,B2,4
case,A1,1
cash,A2,2
cashpoint,B1,3
cassette,A2,2
cast,B2,4
cast,B2,4
castle,A2,2
casual,B1,3
casually,B2,4
cat,A1,1
catalog/catalogue,B2,4
catalyst,B2,4
catastrophe,B2,4
catastrophic,B2,4
catch,A1,1
catch,A1,1
catchy,B2,4
categorization/categorisation,B2,4
categorize/categorise,B1,3
category,B1,3
catering,B2,4
cathedral,B2,4
cattle,B1,3
cause,B2,4
cause,A2,2
caution,B1,3
cautious,B1,3
cave,B1,3
CD,A1,1
CD player,A1,1
CD-ROM,B1,3
cease,B2,4
ceiling,B2,4
celebrate,A1,1
celebration,A1,1
celebrity,B1,3
cell,B1,3
cellar,B2,4
cellist,B2,4
cello,B2,4
cemetery,B2,4
cent,A2,2
center/centre,A2,2
centigrade,B2,4
centimeter/centimetre,A2,2
central,B1,3
central heating,B1,3
century,A2,2
cereal,A2,2
ceremony,B1,3
certain,A2,2
certainly,A2,2
certainty,B1,3
certificate,B2,4
certification,B2,4
certify,B2,4
chain,A2,2
chair,A1,1
chairman,A2,2
challenge,A2,2
challenge,B2,4
challenging,B1,3
champagne,A2,2
champion,B1,3
championship,A2,2
chance,A2,2
chancellor,B2,4
change,A1,1
change,A1,1
channel,B1,3
chaos,B1,3
chaotic,B2,4
chapter,A2,2
character,A1,1
characteristic,B2,4
characteristic,B1,3
characterize/characterise,B1,3
charge,B1,3
charge,B1,3
chariot,B1,3
charity,B1,3
charm,B1,3
charming,B2,4
chart,A2,2
chase,B1,3
chase,B2,4
chat,B1,3
chat,A2,2
chat show,B1,3
cheap,A2,2
cheat,B2,4
check,A1,1
check,A2,2
check-in counter/check-in,B1,3
check-in desk/check-in,B1,3
checkout,B1,3
checkpoint,B2,4
cheek,A2,2
cheeky,B2,4
cheer,A2,2
cheerful,B1,3
cheerfully,B2,4
cheerfulness,B2,4
cheese,A1,1
chef,A2,2
chemical,A2,2
chemical,B1,3
chemist,B1,3
chemistry,B1,3
chemotherapy,B2,4
cheque,A2,2
cherish,B1,3
cherished,B2,4
cherry,B2,4
chess,A2,2
chest,A2,2
chest of drawers,B1,3
chew,B2,4
chewing gum,B1,3
chicken,A1,1
chief,B1,3
chief,B2,4
child,A1,1
childhood,A2,2
childish,B2,4
chili/chilli,A2,2
chimney,B2,4
chimpanzee,A2,2
chin,A2,2
chip,B2,4
chirp,A2,2
chocolate,A1,1
choice,A2,2
choir,B1,3
choke,B1,3
choose,A1,1
chop,B2,4
Christian,B1,3
chronological,B1,3
chuckle,B1,3
chunk,B2,4
church,A1,1
cigarette,A2,2
cinema,A1,1
circle,A1,1
circle,B1,3
circuit,B2,4
circuitry,B2,4
circular,B1,3
circumstance,B2,4
circus,B1,3
citizen,A2,2
citizenship,B1,3
city,A1,1
citywide,B2,4
civil,B1,3
civilization/civilisation,B1,3
claim,B1,3
claim,A2,2
clam,B2,4
clap,B2,4
clarify,B2,4
class,A1,1
classic,A2,2
classic,B2,4
classical,B1,3
classical music,A2,2
classification,B2,4
classify,B1,3
classmate,A1,1
classroom,A1,1
clause,B2,4
clean,A1,1
clean,A1,1
cleaner,A2,2
clear,A2,2
clear,B1,3
clearly,A2,2
clearness,B2,4
clerical,B2,4
clerk,A2,2
clever,A1,1
click,B1,3
click,A2,2
client,B2,4
cliff,B1,3
climate,B1,3
climate change,B2,4
climb,A1,1
climb,A2,2
climber,B1,3
climbing,A2,2
clinic,B1,3
clip,B1,3
clock,A1,1
clog,B2,4
clone,A2,2
close,A1,1
close,A1,1
closed,A1,1
closely,B1,3
closure,B2,4
cloth,A1,1
clothes,A1,1
clothing,B2,4
cloud,A1,1
cloudy,A1,1
clown,A2,2
club,A1,1
clue,A2,2
clumsy,B2,4
coach,A1,1
coach,B2,4
coaching,B2,4
coal,B1,3
coalition,B2,4
coarse,B2,4
coast,A2,2
coast,B1,3
coastal,B1,3
coastline,B2,4
coat,A1,1
cocktail,B2,4
cocoa,B2,4
coconut,B2,4
cod,B1,3
code,A1,1
coffee,A1,1
coffin,B1,3
coherence,B2,4
coherent,B2,4
coin,A2,2
coincide,B2,4
coincidence,B2,4
coke,A1,1
cola,A2,2
cold,A1,1
cold,A1,1
collapse,B1,3
collapse,B2,4
collar,B1,3
colleague,B2,4
collect,A1,1
collection,A1,1
collector,B2,4
college,A1,1
collocation,B2,4
colon,B2,4
colonial,B2,4
color/colour,A1,1
color/colour,A1,1
colorful/colourful,A2,2
column,A2,2
columnist,B1,3
coma,B2,4
comb,A2,2
comb,B2,4
combination,B1,3
combine,B1,3
come,A1,1
comedian,B1,3
comedy,B1,3
comet,B1,3
comfort,B1,3
comfortable,A2,2
comfortably,B2,4
comic,A2,2
comic,A2,2
comma,B1,3
command,B1,3
commander,B2,4
commemorate,B2,4
comment,B1,3
comment,B2,4
commerce,B2,4
commercial,B1,3
commercial,B2,4
commission,B2,4
commit,B1,3
commitment,A2,2
committee,A2,2
common,A2,2
common sense,B1,3
commonly,B1,3
commonwealth,B2,4
communicate,A2,2
communication,A2,2
communicative,B2,4
community,B2,4
commute,B2,4
companion,B1,3
company,A2,2
comparative,A2,2
compare,A2,2
comparison,B1,3
compassion,B2,4
compassionate,B2,4
compatible,B2,4
compensate,B2,4
compensation,B2,4
compete,B1,3
competence,B2,4
competent,B2,4
competition,A2,2
competitive,B1,3
competitor,B1,3
compile,B2,4
complain,A2,2
complaint,A2,2
complement,B1,3
complete,A2,2
complete,B1,3
completely,B1,3
completion,B2,4
complex,B1,3
complexion,B2,4
complexity,B2,4
complicate,B1,3
complicated,B1,3
compliment,B1,3
component,B2,4
compose,B1,3
composer,A2,2
composition,B1,3
compound,B1,3
comprehension,B2,4
comprehensive,B2,4
compress,B2,4
compression,B2,4
compromise,B1,3
compromise,B2,4
compulsory,B2,4
compute,B2,4
computer,A1,1
conceal,B2,4
concede,B2,4
conceit,B2,4
conceivable,B2,4
conceive,B2,4
concentrate,A2,2
concentration,B1,3
concept,B1,3
conception,B2,4
concern,A2,2
concern,B2,4
concerned,B1,3
concerning,B2,4
concert,A1,1
concession,B2,4
conclude,B1,3
conclusion,B1,3
concrete,B2,4
concrete,B2,4
condemn,B2,4
condition,A2,2
conduct,B1,3
conduct,B2,4
conductor,B2,4
cone,B2,4
conference,B2,4
conferencing,B2,4
confess,B2,4
confession,B2,4
confidence,B1,3
confident,A2,2
confidently,B2,4
confine,B2,4
confirm,B1,3
confirmation,B1,3
conflict,B1,3
confront,B2,4
confuse,A2,2
confused,A2,2
confusing,B1,3
confusion,B1,3
congratulate,B1,3
conjunction,B2,4
connect,B1,3
connection/connexion,B1,3
conquer,B1,3
conquest,B2,4
conscience,B2,4
conscious,B1,3
consciousness,B2,4
consensus,B2,4
consent,B2,4
consequence,A2,2
consequently,B1,3
conservation,B1,3
conservative,B1,3
consider,A2,2
considerable,B1,3
considerably,B2,4
consideration,B1,3
considering,B2,4
considering,B2,4
consist,A2,2
consistent,B2,4
consolation,B2,4
console,B2,4
consonant,B1,3
constant,B2,4
constantly,B1,3
constitute,B1,3
constitution,B1,3
construct,B1,3
construction,B1,3
consult,B2,4
consultant,B2,4
consume,B1,3
consumer,B1,3
consumption,B1,3
contact,A2,2
contact,A2,2
contain,B1,3
container,A2,2
contaminate,B2,4
contemporary,B2,4
contempt,B2,4
content,B2,4
content,B1,3
contest,A1,1
context,A2,2
continent,A2,2
continual,B1,3
continually,B1,3
continue,A2,2
continuous,B1,3
continuously,B1,3
contract,B2,4
contradict,B2,4
contradiction,B2,4
contradictory,B2,4
contrary,B1,3
contrast,A2,2
contribute,B1,3
contribution,B1,3
control,A2,2
control,B1,3
controversial,B1,3
controversy,B2,4
convenience,A2,2
convenient,A2,2
conveniently,B2,4
convention,B2,4
conventional,B2,4
conversation,A1,1
converse,B2,4
conversely,B2,4
conversion,B2,4
convert,B2,4
convey,B1,3
convince,B1,3
convinced,B2,4
cook,A1,1
cook,A1,1
cooker,A2,2
cookie,A1,1
cooking,A2,2
cool,A1,1
cool,B2,4
cooler,A2,2
cooperate,B2,4
cooperation,B2,4
cooperative,B2,4
cop,A1,1
cope,B2,4
copper,B2,4
copy,A1,1
copy,A2,2
copyright,B1,3
coral,B2,4
core,B2,4
corn,A1,1
corner,A1,1
cornerstone,B2,4
cornet,B2,4
corona,B2,4
corporal,B2,4
corporate,B2,4
corporation,B2,4
correct,A1,1
correct,B2,4
correction,B1,3
correctly,A2,2
correctness,B2,4
correspond,B2,4
correspondence,B2,4
correspondent,B2,4
corresponding,B2,4
corridor,B2,4
corrupt,B2,4
corruption,B2,4
cost,A2,2
cost,A2,2
costly,B2,4
costume,B2,4
cottage,B2,4
cotton,B1,3
couch,A1,1
cough,B2,4
cough,B1,3
could,A1,1
council,B1,3
counseling/counselling,B1,3
count,B1,3
count,A2,2
counter,B2,4
counter,B1,3
countless,B1,3
country,A2,2
countryman,B2,4
countryside,A2,2
countrywide,B2,4
county,B1,3
couple,A2,2
courage,B1,3
courageous,B1,3
courgette,B1,3
course,A1,1
court,A2,2
courtesy,B2,4
cousin,A1,1
cover,A1,1
cover,A2,2
cow,A1,1
coward,B2,4
cowardly,B2,4
coziness/cosiness,B2,4
cozy/cosy,B2,4
crab,B2,4
crack,B2,4
crack,B2,4
craft,B1,3
craftsman,B2,4
crash,B1,3
crash,B1,3
crater,B2,4
crawl,B2,4
crazy,A2,2
cream,A2,2
cream,A1,1
crease,B2,4
create,A2,2
creation,B2,4
creative,A2,2
creatively,B2,4
creativity,A2,2
creator,B1,3
creature,A2,2
credit,A2,2
credit card,A1,1
creek,B2,4
creepy,B2,4
crew,B2,4
cricket,A2,2
crime,A2,2
criminal,B2,4
criminal,B1,3
cripple,B2,4
crisis,B1,3
crisp,A2,2
critic,B1,3
critical,B1,3
critically,B2,4
criticism,B2,4
criticize/criticise,A2,2
crocodile,B2,4
crop,B1,3
cross,A2,2
cross,A2,2
crossing,B1,3
crossly,B2,4
crossroads,B1,3
crow,B1,3
crowd,A2,2
crowded,A2,2
crown,A2,2
crucial,B2,4
cruel,B1,3
cruelly,B2,4
cruelty,B2,4
cruise,A2,2
cruise,B2,4
crush,B1,3
cry,A1,1
cry,A2,2
crystallize/crystallise,B2,4
cube,B2,4
cubism,B2,4
cucumber,B1,3
cuff,B2,4
culmination,B2,4
